code	id	message
400	IMAGE_PROCESS_FAILED	The server failed to process your image
400	IMPORT_FILE_INVALID	The imported file is invalid
400	IMPORT_FORMAT_UNRECOGNIZED	The imported format is unrecognized
400	IMPORT_ID_INVALID	The import id is invalid
400	IMPORT_TOKEN_INVALID	The specified token is invalid.
400	INLINE_RESULT_EXPIRED	The inline bot query expired
400	INPUT_CHATLIST_INVALID	The specified folder is invalid.
400	INPUT_CONSTRUCTOR_INVALID	The provided constructor is invalid
400	INPUT_FETCH_ERROR	An error occurred while deserializing TL parameters
400	INPUT_FETCH_FAIL	Failed deserializing TL payload
400	INPUT_FILTER_INVALID	The filter is invalid for this query
400	INPUT_LAYER_INVALID	The provided layer is invalid
400	INPUT_METHOD_INVALID	The method invoked is invalid in the current schema
400	INPUT_REQUEST_TOO_LONG	The input request is too long
400	INPUT_TEXT_EMPTY	The specified text is empty.
400	INPUT_USER_DEACTIVATED	The target user has been deleted/deactivated
400	INVITES_TOO_MUCH	The maximum number of per-folder invites specified by the chatlist_invites_limit_default/chatlist_invites_limit_premium client configuration parameters » was reached.
400	INVITE_FORBIDDEN_WITH_JOINAS	If the user has anonymously joined a group call as a channel, they can't invite other users to the group call because that would cause deanonymization, because the invite would be sent using the original user ID, not the anonymized channel ID.
400	INVITE_HASH_EMPTY	The invite hash is empty
400	INVITE_HASH_EXPIRED	The chat invite link is no longer valid
400	INVITE_HASH_INVALID	The invite link hash is invalid
400	INVITE_REQUEST_SENT	You have successfully requested to join this chat or channel.
400	INVITE_REVOKED_MISSING	The action required a chat invite link to be revoked first
400	INVITE_SLUG_EMPTY	The specified invite slug is empty.
400	INVITE_SLUG_EXPIRED	The specified chat folder link has expired.
400	INVOICE_PAYLOAD_INVALID	The specified invoice payload is invalid.
400	JOIN_AS_PEER_INVALID	The specified peer cannot be used to join a group call.
400	LANG_CODE_INVALID	The specified language code is invalid.
400	LANG_CODE_NOT_SUPPORTED	The specified language code is not supported.
400	LANG_PACK_INVALID	The provided language pack is invalid
